Paragraph, AlgoTime(ms), Result Matrix, Chapter
0, 113.302, 312, 1
1, 133.05, 187, 1
2, 189.25300000000001, 900, 1
3, 96.57050000000001, 360, 1
4, 183.10000000000002, 1190, 1
5, 205.961, 1332, 1
6, 95.53359999999999, 456, 1
7, 172.58100000000002, 754, 1
8, 95.7984, 195, 1
9, 204.686, 1056, 1
10, 164.495, 600, 1
11, 131.292, 484, 1
12, 142.705, 483, 1
13, 174.99300000000002, 840, 1
14, 125.36800000000001, 462, 1
15, 188.56300000000002, 1369, 1
16, 206.52499999999998, 1400, 1
17, 154.329, 930, 1
18, 305.496, 2805, 1
19, 137.72899999999998, 780, 1
20, 68.5549, 165, 1
21, 203.86599999999999, 1591, 1
22, 148.558, 462, 2
23, 127.553, 225, 2
24, 271.98, 2150, 2
25, 186.131, 342, 2
26, 106.17699999999999, 504, 2
27, 126.25500000000001, 525, 2
28, 264.915, 1540, 2
29, 218.388, 1804, 2
30, 181.818, 2365, 2
31, 132.517, 240, 2
32, 164.92200000000003, 380, 2
33, 237.13, 2520, 2
34, 123.81, 625, 2
35, 242.577, 2303, 2
36, 289.731, 2916, 2
37, 147.955, 575, 2
38, 204.371, 1296, 2
39, 166.41500000000002, 899, 2
40, 131.018, 169, 2
41, 130.261, 648, 2
42, 174.035, 899, 2
43, 155.996, 399, 2
44, 141.11599999999999, 870, 2
45, 138.91899999999998, 600, 3
46, 190.989, 837, 3
47, 137.056, 240, 3
48, 162.56300000000002, 1156, 3
49, 169.972, 224, 3
50, 190.665, 1224, 3
51, 196.442, 1677, 3
52, 277.44, 2346, 3
53, 207.084, 1444, 3
54, 160.791, 396, 3
55, 141.426, 441, 3
56, 363.29499999999996, 5041, 3
57, 204.94299999999998, 2376, 3
58, 113.27199999999999, 529, 3
59, 192.905, 990, 3
60, 184.449, 1023, 4
61, 139.569, 266, 4
62, 160.18099999999998, 840, 4
63, 177.179, 1056, 4
64, 159.706, 870, 4
65, 104.115, 196, 4
66, 153.784, 840, 4
67, 235.304, 2385, 4
68, 41.4985, 36, 4
69, 55.5118, 70, 4
70, 320.249, 4830, 4
71, 37.597899999999996, 12, 4
72, 218.592, 456, 4
73, 232.422, 1760, 4
74, 26.058999999999997, 16, 4
75, 294.281, 2860, 4
76, 65.5138, 88, 4
77, 213.131, 1886, 5
78, 200.166, 1628, 5
79, 131.589, 552, 5
80, 120.80399999999999, 483, 5
81, 144.728, 650, 5
82, 184.764, 1155, 5
83, 28.308300000000003, 35, 5
84, 235.65900000000002, 2208, 5
85, 186.16, 1023, 5
86, 82.85810000000001, 224, 5
87, 176.952, 1296, 5
88, 140.171, 924, 5
89, 174.011, 255, 5
90, 228.913, 2538, 5
91, 154.47, 552, 6
92, 165.01, 784, 6
93, 147.955, 650, 6
94, 206.22899999999998, 1190, 6
95, 159.28, 306, 6
96, 192.102, 1292, 6
97, 68.0394, 110, 6
98, 118.806, 598, 6
99, 259.18, 3192, 6
100, 180.47199999999998, 1254, 6
101, 177.80599999999998, 1224, 6
102, 121.386, 240, 6
103, 248.348, 2448, 6
104, 122.75800000000001, 380, 6
105, 70.0095, 64, 7
106, 221.269, 1722, 7
107, 185.228, 1054, 7
108, 231.607, 1665, 7
109, 90.7957, 368, 7
110, 126.114, 272, 7
111, 193.964, 1400, 7
112, 253.388, 2652, 7
113, 191.673, 1482, 7
114, 174.40900000000002, 240, 7
115, 162.731, 841, 8
116, 159.31500000000003, 552, 8
117, 153.85399999999998, 1122, 8
118, 85.0953, 182, 8
119, 337.766, 3654, 8
120, 149.748, 529, 8
121, 198.889, 1190, 8
122, 186.04999999999998, 1480, 8
123, 373.161, 6536, 8
124, 228.433, 925, 8
125, 215.554, 2226, 8
126, 114.743, 400, 8
127, 166.247, 1054, 8
128, 162.776, 700, 8
129, 193.312, 1292, 8
130, 37.8489, 36, 8
131, 217.856, 1935, 8
132, 281.717, 3245, 9
133, 211.84300000000002, 1260, 9
134, 105.443, 625, 9
135, 120.029, 441, 9
136, 104.313, 437, 9
137, 51.6123, 72, 9
138, 9.55053, 8, 9
139, 4.12032, 4, 9
140, 7.9822299999999995, 16, 9
141, 89.7795, 378, 9
142, 127.62399999999998, 195, 9
143, 261.66499999999996, 3024, 9
144, 185.113, 1190, 9
145, 183.867, 324, 9
146, 167.92499999999998, 868, 9
147, 176.37900000000002, 1368, 9
148, 126.226, 529, 9
149, 130.639, 884, 9
150, 202.039, 1353, 9
151, 145.3, 462, 9
152, 93.9956, 360, 9
153, 259.035, 2444, 9
154, 93.3185, 169, 9
155, 156.595, 1056, 9
156, 205.89, 1295, 9
157, 181.404, 992, 9
158, 185.058, 1230, 9
159, 205.224, 1406, 9
160, 185.14, 323, 9
161, 79.8916, 414, 9
162, 186.924, 1258, 9
163, 97.5786, 143, 9
164, 62.2408, 130, 10
165, 201.50799999999998, 1406, 10
166, 194.39100000000002, 1147, 10
